Status;TypeAnlegg;KraftverksNavn;Forventet elsertifikatberettiget produksjon, GWh;ESerfikatProdMWH;SerfikatProdmndMWH;YtelseMW;Idriftsettelsedato;Maalet;ENormaarProd;Overgangsordning;HeleProd;GodkjentDato;Startdato;Sluttdato;Foretaksnavn;Fylke;Kommune;Omraade
Godkjent;Vannkraft;Bjørndalen;1,63;1629,9;135,8;4,9499998;15.06.2006;Nei;;1,63;nei;25.06.2013;08.07.2013;20.12.2027;SFE PRODUKSJON AS;Vestland;Bremanger;EL 3
Godkjent;Vannkraft;Dauremål;1,02;1021,7;85,1;4,9499998;04.06.2007;Nei;;1,02;nei;25.06.2013;08.07.2013;12.04.2027;SFE PRODUKSJON AS;Vestland;Bremanger;EL 3
Godkjent;Vannkraft;Fosse;0,54;539;44,9;25;22.11.1954;Ja;0,54;;nei;26.06.2013;08.07.2013;08.07.2028;BKK PRODUKSJON AS;Vestland;Vaksdal;EL 5
Godkjent;Vannkraft;Teksdal;1,06;1060;88,3;2,5;01.03.1943;Ja;1,06;;nei;26.06.2013;08.07.2013;08.07.2028;FOSENKRAFT AS;Trøndelag;Ørland;EL 3
Godkjent;Vannkraft;Fossan;17,2;17202;1433,5;4,9499998;10.05.2013;Ja;17,2;;nei;28.06.2013;08.07.2013;08.07.2028;HÅLOGALAND KRAFT AS;Troms og Finnmark Romsa ja Finnmárku;Gratangen;EL 4
Godkjent;Vannkraft;Freim;3,6;3600;300;0,69999998;04.06.2013;Ja;3,6;;ja;28.06.2013;08.07.2013;08.07.2028;FREIM KRAFT AS;Vestland;Ullensvang;EL 2
Godkjent;Vannkraft;Litleåna;8,8;8800;733,3;3,20000004;02.01.2013;Ja;8,8;;ja;27.06.2013;08.07.2013;08.07.2028;MYGLAND KRAFT AS;Agder;Kvinesdal;EL 2
Godkjent;Vannkraft;Hauge;1,78;1783,6;148,6;0,47999998;24.02.2010;Nei;;1,78;ja;27.06.2013;08.07.2013;01.09.2026;HAUGE MINIKRAFTVERK AS;Vestland;Gulen;EL 5
Godkjent;Vannkraft;Teitafossen;4,6;4600;383,3;0,88999998;10.07.2009;Nei;;4,6;ja;27.06.2013;08.07.2013;15.01.2026;TEITAFOSSEN KRAFT AS;Vestland;Gloppen;EL 3
Godkjent;Vannkraft;Botnaelva;1,18;1176;98;0,4;07.06.2005;Nei;;1,18;ja;15.03.2013;25.03.2013;30.08.2021;BOTNAELVA KRAFTVERK DA;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Sagelva;2,5;2500;208,3;0,64999997;08.11.2007;Nei;;2,5;ja;06.08.2013;19.08.2013;26.06.2024;SAGELVA ENERGI AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Langdalselva;9,7;9700;808,3;4,30000019;12.06.2013;Ja;9,7;;ja;04.09.2013;16.09.2013;16.09.2028;SMÅKRAFT AS;Troms og Finnmark Romsa ja Finnmárku;Kvænangen;EL 4
Godkjent;Vannkraft;Eide;0,32;323,4;27;0,09;07.01.2008;Nei;;0,32;ja;09.09.2013;23.09.2013;29.09.2024;EIRIK M EIDE;Vestland;Fitjar;EL 2
Godkjent;Vannkraft;Åkraelva;16,4;16400;1366,7;5,30999994;16.05.2013;Ja;16,4;;ja;12.09.2013;23.09.2013;23.09.2028;ÅKRAELVA KRAFTVERK AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Bøhnsdalen;0,12;115,7;9,6;3;22.05.1986;Ja;0,12;;nei;17.09.2013;30.09.2013;30.09.2028;GLOMMA KRAFTPRODUKSJON AS;Viken;Eidsvoll;EL 1
Godkjent;Vannkraft;Sagfossen;1,96;1960;163,3;0,347;16.04.2008;Nei;;1,96;ja;09.10.2013;21.10.2013;04.02.2025;LØVENSKIOLD-VÆKERØ Carl Otto Løvenskiold;Viken;Nittedal;EL 1
Godkjent;Vannkraft;Vikaelva;14,2;14200;1183,3;5,40000009;05.09.2013;Ja;14,2;;ja;09.10.2013;21.10.2013;21.10.2028;VIKAELVA KRAFTVERK AS;Vestland;Stryn;EL 3
Godkjent;Vannkraft;Blåfalli III H;21,16;21157,2;1763,1;100;01.01.1968;Ja;21,16;0;nei;09.10.2013;21.10.2013;21.10.2028;SKL PRODUKSJON AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Blåfalli III L;0,25;246;20,5;5;01.01.1976;Ja;0,25;;nei;09.10.2013;21.10.2013;21.10.2028;SKL PRODUKSJON AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Blåfalli Vik;31,22;31219,9;2601,7;230;01.05.2007;Ja;31,22;;nei;09.10.2013;21.10.2013;21.10.2028;SKL PRODUKSJON AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Hølera;4,5;4500;375;0,87999999;26.08.2013;Ja;4,5;;ja;15.10.2013;28.10.2013;28.10.2028;HØLERA KRAFT AS;Innlandet;Sør-Aurdal;EL 1
Godkjent;Vannkraft;Kløvkraft;4,89;4890;407,5;1,38900005;17.06.2013;Ja;4,89;;ja;29.10.2013;11.11.2013;11.11.2028;KLØVKRAFT AS;Vestland;Kvinnherad;EL 2
Godkjent;Vindkraft;Midtfjellet;156,57;156565,7;13047,1;149,6;01.01.2012;Ja;156,57;;nei;11.11.2013;18.11.2013;18.11.2028;MIDTFJELLET VINDKRAFT AS;Vestland;Fitjar;EL 2
Godkjent;Vannkraft;Akslandselva;6,06;6060;505;1,70000004;15.07.2013;Ja;6,06;;ja;19.11.2013;02.12.2013;02.12.2028;AKSLANDSELVA KRAFTVERK AS;Vestland;Etne;EL 2
Godkjent;Vannkraft;Voldsetelva;16;16000;1333,3;4,94199991;08.08.2013;Ja;16;;ja;22.11.2013;02.12.2013;02.12.2028;VOLDSETELVA KRAFTVERK AS;Trøndelag;Steinkjer;EL 3
Godkjent;Vannkraft;Heimseta;5;5000;416,7;1;19.05.2008;Nei;;5;ja;28.11.2013;09.12.2013;27.04.2025;HEIMSETA KRAFT AS;Vestland;Gloppen;EL 3
Godkjent;Vannkraft;Lysebotn;1,82;1824,3;152;210;08.01.1953;Nei;;1,82;nei;11.12.2013;23.12.2013;03.03.2019;LYSE PRODUKSJON AS;Rogaland;Sandnes;EL 2
Godkjent;Vannkraft;Mjella;1,08;1078;89,8;0,2;15.11.2007;Nei;;1,08;ja;11.12.2013;23.12.2013;06.11.2024;BREKKE GÅRD Line Berget Hedegart;Vestfold og Telemark;Notodden;EL 2
Godkjent;Vannkraft;Botnaelva;3,14;3136;261,3;0,86199998;04.01.2007;Nei;;3,14;ja;20.12.2013;30.12.2013;03.01.2024;SØRDALSKRAFT AS;Vestland;Vaksdal;EL 5
Godkjent;Vannkraft;Midtun;2;2000;166,7;0,64999997;07.01.2014;Ja;2;;ja;23.01.2014;03.02.2014;03.02.2029;MIDTUNKRAFT AS;Vestland;Gulen;EL 5
Godkjent;Vannkraft;Liarelva;6,2;6200;516,7;1,89999997;12.07.2013;Ja;6,2;;ja;03.02.2014;17.02.2014;17.02.2029;SKL PRODUKSJON AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Tafjord 8;11,3;11300;941,7;2,79999995;10.10.2013;Ja;11,3;;ja;03.02.2014;17.02.2014;17.02.2029;TAFJORD KRAFTPRODUKSJON AS;Møre og Romsdal;Fjord;EL 3
Godkjent;Vannkraft;Oftedal I;2,06;2059,4;171,6;3;01.01.2006;Ja;2,06;;nei;07.02.2014;17.02.2014;17.02.2029;SMÅKRAFT AS;Agder;Sirdal;EL 2
Godkjent;Vannkraft;Oftedal II;2,64;2639,8;220;5;14.07.2007;Ja;2,64;;nei;07.02.2014;17.02.2014;17.02.2029;SMÅKRAFT AS;Agder;Sirdal;EL 2
Godkjent;Vannkraft;Eldrevatn;24;24000;2000;4,90000009;28.10.2013;Ja;24;;ja;25.02.2014;10.03.2014;10.03.2029;ELDREVATN KRAFTVERK AS;Vestland;Lærdal;EL 5
Godkjent;Vannkraft;Tveiten;0,16;156,8;13,1;0,037;03.06.2004;Nei;;0,16;ja;14.03.2014;24.03.2014;25.08.2021;TVEITEN KRAFT AS;Vestfold og Telemark;Seljord;EL 2
Godkjent;Vannkraft;Gråklubben;3,5;3500;291,7;1,08899998;01.03.2014;Ja;3,5;;ja;26.03.2014;07.04.2014;07.04.2029;GRÅKLUBBEN KRAFTVERK AS;Vestland;Bjørnafjorden;EL 2
Godkjent;Vannkraft;Håverstad;1,47;1468,7;122,4;48;01.01.1957;Nei;;1,47;nei;26.03.2014;07.04.2014;01.02.2029;AGDER ENERGI VANNKRAFT AS;Agder;Åseral;EL 2
Godkjent;Vannkraft;Eitro;12,9;12900;1075;4,0999999;31.05.2013;Ja;12,9;;ja;03.04.2014;14.04.2014;14.04.2029;EITRO KRAFTVERK AS;Vestland;Bjørnafjorden;EL 2
Godkjent;Vannkraft;Torsnes;23;23000;1916,7;9,10000038;18.09.2013;Ja;23;;ja;09.04.2014;21.04.2014;21.04.2029;FJELLKRAFT TORSNES AS;Vestland;Ullensvang;EL 5
Godkjent;Vannkraft;Heiåi;5;5000;416,7;2,40000009;12.12.2012;Ja;5;;ja;11.04.2014;21.04.2014;21.04.2029;HEIKRAFT AS;Vestfold og Telemark;Seljord;EL 2
Godkjent;Vannkraft;Oksefjell;0,98;980;81,7;0,214;28.03.2006;Nei;;0,98;ja;25.04.2014;05.05.2014;31.07.2023;OKSEKRAFT AS;Agder;Kvinesdal;EL 2
Godkjent;Vannkraft;Myklebustdalen;1,08;1078;89,8;0,22499999;08.01.2007;Nei;;1,08;ja;02.05.2014;12.05.2014;19.05.2024;MYKLEBUSTDALEN ENERGI AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Hol I (Votna);13,47;13473,6;1122,8;114;01.02.1949;Nei;;13,47;nei;15.05.2014;26.05.2014;21.02.2029;E-CO ENERGI AS;Viken;Hol;EL 5
Godkjent;Vannkraft;Hol I (Urunda);14,32;14316,6;1193,1;106;01.11.1956;Nei;;14,32;nei;15.05.2014;26.05.2014;24.02.2028;E-CO ENERGI AS;Viken;Hol;EL 5
Godkjent;Vannkraft;Hol I (Urunda);3,32;3315;276,3;106;01.11.1956;Ja;3,32;;nei;15.05.2014;26.05.2014;26.05.2029;E-CO ENERGI AS;Viken;Hol;EL 5
Godkjent;Vannkraft;Kaldåni;0,03;25,5;2,1;0,054;01.01.2003;Nei;;0,03;nei;22.05.2014;23.09.2013;13.06.2027;MÅKESTAD LARS;Vestland;Ullensvang;EL 5
Godkjent;Vannkraft;Kaldåni;0,1;102;8,5;0,054;01.01.2003;Ja;0,1;;nei;22.05.2014;23.09.2013;23.09.2028;MÅKESTAD LARS;Vestland;Ullensvang;EL 5
Godkjent;Vannkraft;Saltåno;1;1000;83,3;0,25;05.04.2011;Nei;;1;ja;22.05.2014;21.05.2012;23.08.2026;SALTÅNO KRAFT AS;Vestland;Etne;EL 2
Godkjent;Vannkraft;Rime;4;4000;333,3;1,5;06.02.2014;Ja;4;;ja;13.06.2014;23.06.2014;23.06.2029;RIME KRAFT AS;Viken;Flå;EL 5
Godkjent;Vannkraft;Skjelfoss;1,08;1078;89,8;0,25;04.04.2011;Nei;;1,08;ja;20.06.2014;30.06.2014;01.10.2028;SKJELFOSS ENERGI AS;Viken;Indre Østfold;EL 1
Godkjent;Vannkraft;Vamma;8,12;8121,7;676,8;344;01.04.1915;Nei;;8,12;nei;25.06.2014;07.07.2014;01.10.2028;HAFSLUND PRODUKSJON AS;Viken;Indre Østfold;EL 1
Godkjent;Vannkraft;Håra;16,8;16800;1400;4,90000009;29.04.2014;Ja;16,8;;ja;27.05.2014;09.06.2014;09.06.2029;HÅRA KRAFT AS;Vestland;Ullensvang;EL 2
Godkjent;Vannkraft;Fossheimgardane;0,25;250;20,8;0,075;12.12.2013;Ja;0,25;;ja;04.07.2014;14.07.2014;14.07.2029;FOSSHEIMGARDANE MIKROKRAFTVERK AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Ryddøla;8,9;8900;741,7;3,48799991;03.12.2013;Ja;8,9;;ja;01.09.2014;15.09.2014;15.09.2029;RYDDØLA KRAFTVERK AS;Innlandet;Dovre;EL 3
Godkjent;Vannkraft;Kjøsnesfjorden;0,56;562,4;46,9;84;17.04.2010;Ja;0,56;;nei;18.09.2014;29.09.2014;29.09.2029;KJØSNESFJORDEN KRAFTVERK AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Tyttebærelva;4,34;4340;361,7;1,46000003;06.08.2014;Ja;4,34;;ja;30.09.2014;13.10.2014;13.10.2029;SMÅKRAFT AS;Troms og Finnmark Romsa ja Finnmárku;Lyngen;EL 4
Godkjent;Vindkraft;Raggovidda;189;189000;15750;45;20.09.2014;Ja;189;;ja;03.10.2014;13.10.2014;13.10.2029;VARANGER KRAFTVIND AS;Troms og Finnmark Romsa ja Finnmárku;Berlevåg;EL 4
Godkjent;Vannkraft;Kvitvella;4,95;4950;412,5;1,54999995;29.04.2014;Ja;4,95;;ja;10.09.2014;22.09.2014;22.09.2029;KVITVELLA ELECTRISITETSVERK AS;Innlandet;Nord-Aurdal;EL 1
Godkjent;Vannkraft;Tossevikelva;7,1;7100;591,7;2,5999999;03.10.2014;Ja;7,1;;ja;04.11.2014;17.11.2014;17.11.2029;NORSK GRØNNKRAFT AS;Viken;Ringerike;EL 1
Godkjent;Vannkraft;Kulu;6,8;6800;566,7;2,88000011;16.06.2014;Ja;6,8;;ja;20.11.2014;24.11.2014;24.11.2029;KULU KRAFTVERK AS;Viken;Ål;EL 5
Godkjent;Vannkraft;Fatland;3,25;3250;270,8;0,97500002;25.02.2014;Ja;3,25;;ja;04.12.2014;08.12.2014;08.12.2029;FATLAND KRAFT AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Rendalen;70,35;70345,8;5862,1;100,5;16.10.1971;Ja;70,35;;nei;31.10.2014;10.11.2014;10.11.2029;EIDSIVA VANNKRAFT AS;Innlandet;Rendalen;EL 1
Godkjent;Vannkraft;Osen;2,19;2194,1;182,8;16,5;07.11.1954;Ja;2,19;;nei;12.12.2014;22.12.2014;22.12.2029;SKAFSÅ KRAFTVERK ANS;Vestfold og Telemark;Kviteseid;EL 2
Godkjent;Vannkraft;Embretsfoss;132,49;132492,5;11041;71;01.01.1954;Ja;132,49;;nei;18.12.2014;29.12.2014;29.12.2029;EMBRETSFOSSKRAFTVERKENE DA;Viken;Modum;EL 1
Godkjent;Vannkraft;Fossbråten;7;7000;583,3;2,90000009;29.10.2014;Ja;7;;ja;18.12.2014;29.12.2014;29.12.2029;FOSSBRÅTEN KRAFTVERK AS;Innlandet;Nord-Aurdal;EL 1
Klage på godkjennelse;Vannkraft;Haukali;0,06;58,8;4,9;1,64999997;01.01.2001;Nei;;0,06;nei;01.02.2015;02.02.2015;16.11.2027;SKRUDSARKRAFT AS;Rogaland;Sandnes;EL 2
Godkjent;Vannkraft;Follsjå;13;13000;1083,3;2,90000009;30.01.2015;Ja;13;;ja;17.02.2015;02.03.2015;02.03.2030;FOLLSJÅ KRAFT AS;Vestfold og Telemark;Notodden;EL 2
Godkjent;Vannkraft;Middøla;12,5;12500;1041,7;4,36000013;05.01.2015;Ja;12,5;;ja;19.02.2015;02.03.2015;02.03.2030;MIDDØLA KRAFT AS;Vestfold og Telemark;Tinn;EL 2
Godkjent;Vannkraft;Nasvatn;7;7000;583,3;0,99;01.07.2008;Nei;;7;ja;13.03.2015;23.03.2015;21.09.2026;NASVATN KRAFTVERK AS;Agder;Åmli;EL 2
Godkjent;Vannkraft;Øvre Kivfallet;5;5000;416,7;0,81999999;15.12.2009;Nei;;5;ja;24.03.2015;06.04.2015;20.03.2028;ØVERGAARD ENERGI AS;Innlandet;Rendalen;EL 1
Godkjent;Vannkraft;Tisleifjord;6,5;6500;541,7;1,64999997;24.10.2014;Ja;6,5;;ja;25.03.2015;06.04.2015;06.04.2030;SKAGERAK KRAFT AS;Innlandet;Nord-Aurdal;EL 5
Godkjent;Vannkraft;Fjellet;15,5;15500;1291,7;4,30000019;30.01.2015;Ja;15,5;;ja;25.03.2015;06.04.2015;06.04.2030;LØVENSKIOLD-FOSSUM KRAFT AS;Vestfold og Telemark;Skien;EL 2
Godkjent;Vannkraft;Forneselva;12,3;12300;1025;5,1999998;11.06.2014;Ja;12,3;;ja;25.03.2015;06.04.2015;06.04.2030;NORDIC POWER AS;Troms og Finnmark Romsa ja Finnmárku;Tromsø;EL 4
Godkjent;Vannkraft;Brokke;88,42;88420,7;7368,4;330;15.08.1964;Ja;88,42;;nei;26.03.2015;06.04.2015;06.04.2029;OTRA KRAFT DA;Agder;Valle;EL 2
Godkjent;Vannkraft;Hekni;3,99;3992,8;332,7;56;01.11.1995;Ja;3,99;;nei;26.03.2015;06.04.2015;06.04.2029;AGDER ENERGI VANNKRAFT AS;Agder;Bygland;EL 2
Godkjent;Vannkraft;Iveland;3,51;3508,4;292,4;87;01.01.1949;Ja;3,51;;nei;26.03.2015;06.04.2015;06.04.2029;AGDER ENERGI VANNKRAFT AS;Agder;Iveland;EL 2
Godkjent;Vannkraft;Skripelandsfossen;12,4;12400;1033,3;2,5999999;13.09.2014;Ja;12,4;;ja;07.04.2015;20.04.2015;20.04.2030;SKRIPELANDSFOSSEN KRAFT AS;Agder;Froland;EL 2
Godkjent;Vannkraft;Svelgen II;4,31;4308,4;359;29;01.01.1958;Nei;;4,31;nei;15.04.2015;27.04.2015;04.11.2029;SVELGEN KRAFT AS;Vestland;Bremanger;EL 3
Godkjent;Vannkraft;Svelgen II;4,87;4870,4;405,9;29;01.01.1958;Ja;4,87;;nei;15.04.2015;27.04.2015;27.04.2030;SVELGEN KRAFT AS;Vestland;Bremanger;EL 3
Godkjent;Vannkraft;Fellesanlegget Kykkelsrud-Fossumfoss;0,5;496,4;41,4;230;01.01.1963;Nei;;0,5;nei;15.05.2015;25.05.2015;24.09.2028;HAFSLUND PRODUKSJON AS;Viken;Indre Østfold;EL 1
Godkjent;Vannkraft;Fellesanlegget Kykkelsrud-Fossumfoss;0,62;620,5;51,7;230;01.01.1963;Nei;;0,62;nei;15.05.2015;25.05.2015;28.08.2029;HAFSLUND PRODUKSJON AS;Viken;Indre Østfold;EL 1
Godkjent;Vannkraft;Horpedal;1,61;1614,3;134,5;2,5;13.01.2004;Ja;1,61;0;nei;29.05.2015;08.06.2015;08.06.2030;HORPEDAL KRAFT AS;Vestland;Sogndal;EL 5
Godkjent;Vannkraft;Røldal;17,53;17531,5;1461;166;01.01.1966;Ja;17,53;0;nei;10.06.2015;22.06.2015;22.06.2030;Norsk Hydro ASA;Vestland;Ullensvang;EL 2
Godkjent;Vannkraft;Vassvikelva;7,7;7700;641,7;2,76999998;20.05.2015;Ja;7,7;;ja;16.06.2015;16.06.2015;16.06.2030;SMÅKRAFT AS;Vestland;Ullensvang;EL 2
Godkjent;Vannkraft;Valåe;5,5;5500;458,3;1,92999994;27.11.2014;Ja;5,5;;ja;25.06.2015;06.07.2015;06.07.2030;SMÅKRAFT AS;Innlandet;Lesja;EL 3
Godkjent;Vannkraft;Lislevatn;19;19000;1583,3;4,1999998;03.03.2015;Ja;19;;ja;08.07.2015;20.07.2015;20.07.2030;AGDER ENERGI VANNKRAFT AS;Agder;Evje og Hornnes;EL 2
Godkjent;Vannkraft;Fossekallen;0,64;637;53,1;0,09;01.08.2007;Nei;;0,64;ja;09.07.2015;20.07.2015;17.02.2026;SVELGEN KRAFT AS;Vestland;Bremanger;EL 3
Godkjent;Vannkraft;Hunsfoss;3,62;3622,4;301,9;25,10000038;01.01.1964;Ja;3,62;;nei;10.07.2015;20.07.2015;20.07.2030;AGDER ENERGI VANNKRAFT AS;Agder;Vennesla;EL 2
Godkjent;Vindkraft;Mehuken;16,51;16512;1376;29,55;01.07.2001;Ja;16,51;;nei;12.11.2015;30.11.2015;30.11.2030;KVALHEIM KRAFT DA;Vestland;Kinn;EL 3
Godkjent;Vannkraft;Kjærnes;0,77;768;64;0,99;07.12.2009;Ja;0,77;;nei;27.08.2015;07.09.2015;29.05.2030;RUSTAD ENERGI AS;Trøndelag;Raarvikhe %u2013 Røyrvik;EL 4
Godkjent;Vannkraft;Veiåni;2;2000;166,7;0,75;06.11.2008;Nei;;2;ja;03.09.2015;14.09.2015;21.07.2027;VEIÅNI MINIKRAFTVERK AS;Agder;Åseral;EL 2
Godkjent;Vannkraft;Kvitno;32,5;32500;2708,3;9;23.06.2015;Ja;32,5;;ja;21.09.2015;05.10.2015;05.10.2030;KVITNO KRAFT AS;Vestland;Ullensvang;EL 2
Godkjent;Vannkraft;Soks;4;4000;333,3;0,98000001;11.11.2009;Nei;;4;ja;25.09.2015;05.10.2015;15.08.2028;SOKS KRAFTVERK AS;Vestfold og Telemark;Fyresdal;EL 2
Godkjent;Vannkraft;Ringheim;0,29;290;24,2;0,05;03.04.2015;Ja;0,29;;ja;30.11.2015;14.12.2015;14.12.2030;KRISTIAN RINGHEIM;Vestland;Voss;EL 5
Godkjent;Vannkraft;Ren Energi Ramsland;0,54;540;45;0,075;06.10.2015;Ja;0,54;;ja;30.11.2015;14.12.2015;14.12.2030;REN ENERGI RAMSLAND AS;Agder;Lindesnes;EL 2
Godkjent;Vannkraft;Espeland;0,9;901,6;75,1;0,27000001;25.09.2015;Ja;0,9;;ja;30.11.2015;14.12.2015;14.12.2030;ESPELAND MINIKRAFTVERK AS;Vestland;Hyllestad;EL 3
Godkjent;Vannkraft;Mæl;8,8;8797,5;733,1;37,5;01.01.1957;Ja;8,8;;nei;28.09.2015;05.10.2015;05.10.2030;Norsk Hydro ASA;Vestfold og Telemark;Tinn;EL 2
Godkjent;Vannkraft;Moflåt;6,88;6884;573,7;30;01.01.1954;Ja;6,88;;nei;28.12.2015;05.10.2015;05.10.2030;Norsk Hydro ASA;Vestfold og Telemark;Tinn;EL 2
Godkjent;Vannkraft;Kvittingen;2,94;2939,4;244,9;48;01.11.1984;Ja;2,94;;nei;09.09.2015;21.09.2015;21.09.2030;BKK PRODUKSJON AS;Vestland;Samnanger;EL 5
Godkjent;Vannkraft;Krokevatn;13;13000;1083,3;3,29999995;15.10.2009;Nei;;13;ja;06.01.2016;31.01.2016;14.11.2028;BKK PRODUKSJON AS;Vestland;Høyanger;EL 5
Godkjent;Vannkraft;Måren;22,4;22400;1866,7;5;06.10.2010;Nei;;22,4;ja;06.01.2016;31.01.2016;05.11.2029;BKK PRODUKSJON AS;Vestland;Høyanger;EL 3
Godkjent;Vannkraft;Tveitelva;11,4;11400;950;3,29999995;11.07.2011;Nei;;11,4;ja;06.01.2016;31.01.2016;10.08.2030;TVEITELVA KRAFTVERK AS;Vestland;Kvinnherad;EL 5
Godkjent;Vannkraft;Kaupanger 3;10,3;10300;858,3;5,0999999;12.04.2010;Nei;;10,3;ja;06.01.2016;31.01.2016;12.05.2029;KAUPANGER ENERGI AS;Vestland;Sogndal;EL 5
Godkjent;Vannkraft;Kandal;18;18000;1500;4,80000019;15.10.2009;Nei;;18;ja;06.01.2016;31.01.2016;14.11.2028;KANDAL KRAFT AS;Vestland;Gloppen;EL 3
Godkjent;Vannkraft;Nørståe;4,21;4214;351,2;1,5;21.08.2006;Nei;;4,21;ja;06.01.2016;31.01.2016;20.09.2025;NØRSTÅE KRAFT AS;Viken;Rollag;EL 1
Godkjent;Vannkraft;Stuttgongfossen;7,35;7350;612,5;1,20000004;08.05.2007;Nei;;7,35;ja;06.01.2016;31.01.2016;07.06.2026;STUTTGONGFOSSEN KRAFTVERK AS;Innlandet;Vågå;EL 3
Godkjent;Vannkraft;Kjøsnesfjorden;243,97;243967,6;20330,6;84;17.04.2010;Nei;;243,97;nei;06.01.2016;31.01.2016;23.05.2029;KJØSNESFJORDEN KRAFTVERK AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Skjåstad;6,5;6500;541,7;2;16.12.2004;Nei;;6,5;ja;06.01.2016;31.01.2016;16.01.2024;SKJÅSTAD KRAFTVERK AS;Møre og Romsdal;Volda;EL 3
Godkjent;Vannkraft;Smådøla;4,5;4500;375;1,39999997;22.08.2008;Nei;;4,5;ja;07.01.2016;31.01.2016;22.09.2027;SMÅDØLA KRAFT AS;Viken;Nore og Uvdal;EL 5
Godkjent;Vannkraft;Sevre;17;17000;1416,7;4,80000019;17.04.2008;Nei;;17;ja;07.01.2016;31.01.2016;18.05.2027;SEVRE KRAFTVERK AS;Viken;Nesbyen;EL 5
Godkjent;Vannkraft;Syrifossen;9;9000;750;2,83999991;14.04.2010;Nei;;9;ja;07.01.2016;31.01.2016;14.05.2029;SYRIKRAFT AS;Vestland;Voss;EL 5
Godkjent;Vannkraft;Sanddal;11,4;11400;950;2,5;16.12.2007;Nei;;11,4;ja;12.01.2016;31.01.2016;15.01.2027;SANDDAL KRAFT AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Røylandsfoss;4,2;4200;350;1,33000004;11.11.2004;Nei;;4,2;ja;07.01.2016;31.01.2016;12.12.2023;SØRKRAFT AS;Agder;Kvinesdal;EL 2
Godkjent;Vannkraft;Glesåa;6,57;6566;547,2;2,0999999;22.01.2009;Nei;;6,57;ja;07.01.2016;31.01.2016;22.02.2028;NORDRE LØSSET AS;Innlandet;Åmot;EL 1
Godkjent;Vannkraft;Stedjeåna;3,9;3900;325;1,20000004;05.01.2007;Nei;;3,9;ja;07.01.2016;31.01.2016;04.02.2026;STEDJEÅNA KRAFTVERK AS;Agder;Åmli;EL 2
Godkjent;Vannkraft;Trollelva;4,8;4800;400;1,25;06.04.2006;Nei;;4,8;ja;07.01.2016;31.01.2016;06.05.2025;VALAKER KRAFT AS;Vestland;Stryn;EL 3
Godkjent;Vannkraft;Øyrabekken;8,8;8800;733,3;2;01.01.2007;Nei;;8,8;ja;07.01.2016;31.01.2016;31.01.2026;SMÅKRAFT AS;Vestland;Ullensvang;EL 5
Godkjent;Vannkraft;Bergstø;9;9000;750;2,90000009;04.12.2009;Nei;;9;ja;07.01.2016;31.01.2016;03.01.2029;SMÅKRAFT AS;Vestland;Etne;EL 2
Godkjent;Vannkraft;Blådalselva;6,4;6400;533,3;2,66000008;27.09.2010;Nei;;6,4;ja;07.01.2016;31.01.2016;27.10.2029;SMÅKRAFT AS;Vestland;Masfjorden;EL 5
Godkjent;Vannkraft;Brekkefossen;18,01;18010;1500,8;3,90000009;23.05.2005;Nei;;18,01;ja;07.01.2016;31.01.2016;22.06.2024;HOPE ENERGI AS;Vestland;Gloppen;EL 3
Godkjent;Vannkraft;Stokkelandsåna;8,35;8350;695,8;3,11999988;23.04.2010;Nei;;8,35;ja;07.01.2016;31.01.2016;23.05.2029;SMÅKRAFT AS;Agder;Kvinesdal;EL 2
Godkjent;Vannkraft;Tua;4,9;4900;408,3;1,79999995;20.04.2010;Nei;;4,9;ja;07.01.2016;31.01.2016;20.05.2029;SMÅKRAFT AS;Trøndelag;Steinkjer;EL 3
Godkjent;Vannkraft;Svatsum 2;7,84;7840;653,3;1,70000004;16.09.2009;Nei;;7,84;ja;07.01.2016;31.01.2016;16.10.2028;SVATSUM ELEKTRISITETSVERK AS;Innlandet;Gausdal;EL 1
Godkjent;Vannkraft;Nydal;7,3;7300;608,3;1,44000005;07.02.2005;Nei;;7,3;ja;07.01.2016;31.01.2016;09.03.2024;NYDAL KRAFT AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Rafdal (Heimeelva);7,45;7448;620,7;2;02.06.2008;Nei;;7,45;ja;31.01.2016;07.01.2016;09.06.2027;RAFDAL ENERGI AS;Vestland;Etne;EL 2
Godkjent;Vannkraft;Håvardsvatn;20,34;20337,8;1694,8;5;13.09.2006;Nei;;20,34;ja;20.01.2016;31.01.2016;13.10.2025;STATKRAFT ENERGI AS;Vestland;Ullensvang;EL 2
