Status;TypeAnlegg;KraftverksNavn;Forventet elsertifikatberettiget produksjon, GWh;ESerfikatProdMWH;SerfikatProdmndMWH;YtelseMW;Idriftsettelsedato;Maalet;ENormaarProd;Overgangsordning;HeleProd;GodkjentDato;Startdato;Sluttdato;Foretaksnavn;Fylke;Kommune;Omraade
Godkjent;Vannkraft;Svarttjern;0,98;980;81,7;0,135;05.03.2008;Nei;;0,98;ja;14.09.2012;24.09.2012;27.11.2023;EB KRAFTPRODUKSJON AS;Viken;Lier;EL 1
Godkjent;Vannkraft;Jordalen;1,8;1800;150;0,44999998;26.01.2005;Nei;;1,8;ja;14.09.2012;24.09.2012;19.10.2020;JORDALEN KRAFTLAG AS;Vestland;Voss;EL 5
Godkjent;Vannkraft;Hoelsfossen;2,65;2650;220,8;0,4;09.07.2007;Nei;;2,65;ja;13.09.2012;24.09.2012;01.04.2023;HOELSFOSSEN ELVERK AS;Møre og Romsdal;Fjord;EL 3
Godkjent;Vannkraft;Sævareid;3,72;3724;310,3;0,80000001;11.01.2006;Nei;;3,72;ja;14.09.2012;24.09.2012;04.10.2021;SÆVAREID KRAFT AS;Vestland;Bjørnafjorden;EL 2
Godkjent;Vannkraft;Herad;0,67;666,4;55,5;0,085;03.01.2008;Nei;;0,67;ja;17.09.2012;01.10.2012;03.10.2023;HERAD KRAFT DA;Viken;Gol;EL 5
Godkjent;Vannkraft;Bentsjord;6,7;6700;558,3;2,66000008;22.06.2012;Ja;6,7;;ja;17.09.2012;01.10.2012;01.10.2027;BENTSJORD KRAFT AS;Troms og Finnmark Romsa ja Finnmárku;Storfjord-Omasvuotna-Omasvuono;EL 4
Godkjent;Vannkraft;Sønsteby;0,59;588;49;0,1;02.12.2010;Nei;;0,59;ja;17.09.2012;01.10.2012;01.09.2026;MODUM KRAFTPRODUKSJON KF;Viken;Modum;EL 1
Godkjent;Vannkraft;Briksdal;1,4;1400;116,7;0,56;24.05.2007;Nei;;1,4;nei;17.09.2012;01.10.2012;16.07.2023;BRIKSDAL MINIKRAFT AS;Vestland;Stryn;EL 3
Godkjent;Vannkraft;Viken;1,6;1600;133,3;0,22699999;20.05.2008;Nei;;1,6;ja;18.09.2012;01.10.2012;18.02.2024;VIKEN KRAFT AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Fjellanger;3,09;3087;257,3;0,80000001;09.10.2006;Nei;;3,09;ja;17.09.2012;01.10.2012;09.07.2022;FJELLANGER KRAFTVERK AS;Vestland;Vaksdal;EL 5
Godkjent;Vannkraft;Holsbru;84;84000;7000;48,90000152;28.03.2012;Ja;84;;ja;18.09.2012;01.10.2012;01.10.2027;Norsk Hydro ASA;Vestland;Årdal;EL 5
Godkjent;Vannkraft;Bratthus;2,04;2040;170;0,68;07.05.2012;Ja;2,04;;ja;18.09.2012;01.10.2012;01.10.2027;BRATTHUS KRAFTVERK AS;Vestland;Bjørnafjorden;EL 2
Godkjent;Vannkraft;Grytdalen;5,47;5470;455,8;1,29999995;02.03.2012;Ja;5,47;;ja;18.09.2012;01.10.2012;01.10.2027;SVORKA PRODUKSJON AS;Trøndelag;Heim;EL 3
Godkjent;Vannkraft;Dalelva;9,3;9300;775;3,0999999;31.08.2010;Nei;;9,3;ja;24.09.2012;08.10.2012;07.06.2026;DALELVO KRAFT AS;Vestland;Kvinnherad;EL 5
Godkjent;Vannkraft;Fosstun;0,38;382,2;31,9;0,09;29.11.2006;Nei;;0,38;ja;26.09.2012;08.10.2012;05.09.2022;FOSSTUN MINIKRAFT Sigbjørn Garborg Sande;Viken;Eidsvoll;EL 1
Godkjent;Vannkraft;Deveggåe;8,25;8250;687,5;2,99699997;15.04.2011;Nei;;8,25;ja;26.09.2012;08.10.2012;20.01.2027;DEVEGGÅE KRAFT AS;Viken;Nore og Uvdal;EL 5
Godkjent;Vannkraft;Dokkelva;18,6;18600;1550;5,48999977;29.03.2012;Ja;18,6;;ja;27.09.2012;08.10.2012;08.10.2027;SMÅKRAFT AS;Møre og Romsdal;Molde;EL 3
Godkjent;Vannkraft;Kleivane;0,39;392;32,7;0,09899999;17.04.2008;Nei;;0,39;ja;27.09.2012;08.10.2012;23.01.2024;KLEIVANE ENERGI DA;Vestland;Samnanger;EL 5
Godkjent;Vannkraft;Strandos;6,2;6200;516,7;1,92999994;27.03.2012;Ja;6,2;;ja;27.09.2012;08.10.2012;08.10.2027;STRANDOS KRAFT AS;Vestland;Høyanger;EL 3
Godkjent;Vannkraft;Grytåi;2,45;2450;204,2;0,856;25.06.2012;Ja;2,45;;ja;01.10.2012;15.10.2012;15.10.2027;SKAGERAK KRAFT AS;Vestfold og Telemark;Nissedal;EL 2
Godkjent;Vannkraft;Nedrebø;3,6;3600;300;1,41999995;24.01.2012;Ja;3,6;;ja;01.10.2012;15.10.2012;15.10.2027;NEDREBØ KRAFTVERK AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Storå;4,5;4500;375;1,89999997;30.08.2011;Nei;;4,5;ja;04.10.2012;15.10.2012;13.06.2027;FJELLKRAFT PRODUKSJON AS;Nordland;Narvik;EL 4
Godkjent;Vannkraft;Vågen;2,73;2730;227,5;0,38999998;09.04.2008;Nei;;2,73;ja;04.10.2012;15.10.2012;22.01.2024;VÅGEN MINIKRAFT AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Jorda;7,5;7500;625;2,54999995;07.07.2012;Ja;7,5;;ja;09.10.2012;22.10.2012;22.10.2027;NORSK GRØNNKRAFT AS;Innlandet;Nord-Fron;EL 1
Godkjent;Vannkraft;Indrebø;3,6;3600;300;0,884;15.04.2010;Nei;;3,6;ja;12.10.2012;22.10.2012;03.02.2026;INDREBØ KRAFT AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Viddal;17;17000;1416,7;5,48999977;19.04.2012;Ja;17;;ja;17.10.2012;29.10.2012;29.10.2027;TUSSA ENERGI AS;Møre og Romsdal;Volda;EL 3
Godkjent;Vannkraft;Gjøv;0,69;686;57,2;0,09499999;16.11.2006;Nei;;0,69;ja;17.10.2012;29.10.2012;13.09.2022;STEIN HELGE LASSEMO;Vestfold og Telemark;Fyresdal;EL 2
Godkjent;Vannkraft;Lielva;3,5;3500;291,7;1,14999997;25.09.2012;Ja;3,5;;ja;24.10.2012;05.11.2012;05.11.2027;LIELVA KRAFTVERK AS;Viken;Flå;EL 5
Godkjent;Vannkraft;Tuddal;4,5;4500;375;1,59899997;19.10.2011;Nei;;4,5;ja;26.10.2012;05.11.2012;23.08.2027;TUDDAL KRAFT AS;Vestfold og Telemark;Hjartdal;EL 2
Godkjent;Vannkraft;Syversætre Foss;10,29;10290;857,5;2,5;17.04.2012;Ja;10,29;;ja;31.10.2012;12.11.2012;12.11.2027;SYVERSÆTRE FOSS KRAFTVERK AS;Innlandet;Åsnes;EL 1
Godkjent;Vannkraft;Espeland;4,9;4900;408,3;0,96499997;08.05.2012;Ja;4,9;;ja;06.11.2012;19.11.2012;19.11.2027;BERGEN KOMMUNE;Vestland;Bergen;EL 5
Godkjent;Vannkraft;Dyrkorn;10;10000;833,3;2,79999995;31.05.2011;Nei;;10;ja;08.11.2012;19.11.2012;18.04.2027;TAFJORD KRAFTPRODUKSJON AS;Møre og Romsdal;Fjord;EL 3
Godkjent;Vannkraft;Jølåna;4,5;4500;375;1,67999994;10.11.2011;Nei;;4,5;ja;09.11.2012;19.11.2012;28.09.2027;JØLÅNA KRAFT AS;Vestland;Stad;EL 3
Godkjent;Vannkraft;Seimsdal;18;18000;1500;6,5;19.05.2011;Nei;;18;ja;09.11.2012;19.11.2012;06.04.2027;SEIMSDAL KRAFT AS;Vestland;Årdal;EL 5
Godkjent;Vannkraft;Kobbholm;15,89;15888;1324;3,20000004;10.12.2010;Nei;;15,89;ja;12.11.2012;19.11.2012;28.10.2026;TINFOS AS;Troms og Finnmark Romsa ja Finnmárku;Sør-Varanger;EL 4
Godkjent;Vannkraft;Valvatn;3,97;3972;331;1;21.12.2010;Nei;;3,97;ja;12.11.2012;19.11.2012;08.11.2026;TINFOS AS;Troms og Finnmark Romsa ja Finnmárku;Sør-Varanger;EL 4
Godkjent;Vannkraft;Rekåa;1,47;1470;122,5;0,55800002;14.09.2009;Nei;;1,47;ja;16.11.2012;26.11.2012;09.08.2025;REKÅA KRAFTVERK AS;Vestfold og Telemark;Notodden;EL 2
Godkjent;Vannkraft;Tisjøen;0,49;490;40,8;0,075;17.08.2009;Nei;;0,49;ja;23.11.2012;03.12.2012;19.07.2025;EIDSVOLL KOMMUNE;Viken;Eidsvoll;EL 1
Godkjent;Vannkraft;Osland;2,03;2030;169,2;0,75;18.07.2008;Nei;;2,03;ja;23.11.2012;03.12.2012;19.06.2024;OSLAND KRAFT AS;Vestland;Høyanger;EL 5
Godkjent;Vannkraft;Bergelva;1,37;1372;114,3;0,30000001;09.05.2008;Nei;;1,37;ja;26.11.2012;10.12.2012;17.04.2024;BERGELVA KRAFT AS;Møre og Romsdal;Ålesund;EL 3
Godkjent;Vannkraft;Føssa;5,3;5300;441,7;1,76900005;09.05.2011;Nei;;5,3;ja;27.11.2012;10.12.2012;17.04.2027;FØSSA KRAFTVERK AS;Trøndelag;Orkland;EL 3
Godkjent;Vannkraft;Hemsil II;1,95;1952,2;162,7;98;01.01.1960;Nei;;1,95;nei;30.11.2012;10.12.2012;16.03.2027;E-CO ENERGI AS;Viken;Gol;EL 5
Godkjent;Vannkraft;Håverstad;7,08;7079,2;589,9;48;01.01.1957;Nei;;7,08;nei;30.11.2012;10.12.2012;07.10.2027;AGDER ENERGI PRODUKSJON AS;Agder;Åseral;EL 2
Godkjent;Vannkraft;Bjelland;5,55;5550,6;462,5;55;01.01.1974;Nei;;5,55;nei;30.11.2012;10.12.2012;26.08.2027;AGDER ENERGI PRODUKSJON AS;Agder;Lindesnes;EL 2
Godkjent;Vannkraft;Grøvla;7;7000;583,3;2,43300008;23.11.2011;Nei;;7;ja;30.11.2012;10.12.2012;01.11.2027;GRØVLA KRAFT AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Fjellhaugen;0,78;784;65,3;0,15999999;15.09.2008;Nei;;0,78;ja;30.11.2012;10.12.2012;24.08.2024;FJELLHAUGEN SKISENTER AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Nordre Mangen;0,39;392;32,7;0,14399999;08.04.2008;Nei;;0,39;ja;30.11.2012;10.12.2012;17.03.2024;N MANGEN GÅRD Bjørn Toverud;Viken;Aurskog-Høland;EL 1
Godkjent;Vindkraft;Valsneset testpark;10,9;10900;908,3;3;01.08.2012;Ja;10,9;;ja;30.11.2012;10.12.2012;10.12.2027;BLAASTER VALSNESET AS;Trøndelag;Ørland;EL 3
Godkjent;Vannkraft;Hovatn;2,44;2435,9;203;45;01.01.1971;Nei;;2,44;nei;07.12.2012;17.12.2012;06.12.2026;AGDER ENERGI PRODUKSJON AS;Agder;Bygland;EL 2
Godkjent;Vannkraft;Dvergsdalsdalen;7,2;7200;600;2;17.11.2010;Nei;;7,2;ja;17.12.2012;31.12.2012;16.11.2026;DVERGSDALSDALEN KRAFTVERK AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Nydalselva;17,6;17600;1466,7;5,25;26.10.2011;Nei;;17,6;ja;19.12.2012;31.12.2012;25.10.2027;NYDALSELVA KRAFT AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Torvikelva;4,17;4174,8;347,9;1,23699998;04.09.2012;Ja;4,17;;ja;19.12.2012;31.12.2012;31.12.2027;SMÅKRAFT AS;Vestland;Stad;EL 3
Godkjent;Vannkraft;Hattebergsdalen;15,94;15943,2;1328,6;4,96000003;01.01.1954;Nei;;15,94;nei;11.01.2013;21.01.2013;16.06.2027;KVINNHERAD ENERGI AS;Vestland;Kvinnherad;EL 2
Godkjent;Vannkraft;Åmot;8,8;8800;733,3;2,20000004;19.12.2012;Ja;8,8;;ja;24.01.2013;04.02.2013;04.02.2028;LØVENSKIOLD-FOSSUM KRAFT AS;Vestfold og Telemark;Skien;EL 2
Godkjent;Vannkraft;Mærdalsåi;0,99;989,8;82,5;0,4;21.01.2008;Nei;;0,99;ja;28.01.2013;04.02.2013;24.02.2024;VRÅDAL KRAFT AS;Vestfold og Telemark;Kviteseid;EL 2
Godkjent;Vannkraft;Kveaså;12,8;12800;1066,7;5,40000009;01.11.2011;Nei;;12,8;ja;28.01.2013;04.02.2013;05.12.2027;SMÅKRAFT AS;Agder;Valle;EL 2
Godkjent;Vannkraft;Vikaåne;4,7;4700;391,7;1,25;30.11.2011;Nei;;4,7;ja;01.02.2013;11.02.2013;10.01.2028;VIKAÅNE KRAFTVERK AS;Viken;Hol;EL 5
Godkjent;Vannkraft;Budalselva;3,07;3070;255,8;0,54000002;08.11.2010;Nei;;3,07;ja;07.02.2013;18.02.2013;26.12.2026;BUDALSELVA KRAFT AS;Vestland;Kinn;EL 3
Godkjent;Vannkraft;Sagabekken 1;1,54;1537,6;128,1;0,4;18.09.2006;Nei;;1,54;ja;08.02.2013;17.09.2012;04.06.2022;REINSTAUL KRAFT AS;Vestfold og Telemark;Seljord;EL 2
Godkjent;Vannkraft;Karstad;2,56;2560;213,3;0,38999998;01.04.2009;Nei;;2,56;ja;15.02.2013;25.02.2013;26.05.2025;KARSTAD MINIKRAFTVERK AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Ellenelva;13,2;13200;1100;4,80000019;29.08.2012;Ja;13,2;;ja;21.02.2013;04.03.2013;04.03.2028;FJELLKRAFT PRODUKSJON AS;Troms og Finnmark Romsa ja Finnmárku;Tromsø;EL 4
Godkjent;Vannkraft;Saltdalelva;16,1;16100;1341,7;5;15.10.2012;Ja;16,1;;ja;21.02.2013;04.03.2013;04.03.2028;FJELLKRAFT PRODUKSJON AS;Troms og Finnmark Romsa ja Finnmárku;Tromsø;EL 4
Godkjent;Vannkraft;Krogstadelva;10,8;10800;900;4,6999998;15.10.2012;Ja;10,8;;ja;28.02.2013;11.03.2013;11.03.2028;FJELLKRAFT PRODUKSJON AS;Troms og Finnmark Romsa ja Finnmárku;Bardu;EL 4
Godkjent;Vannkraft;Reisæter (Strutåni);4,21;4214;351,2;1;03.06.2009;Nei;;4,21;ja;04.03.2013;18.03.2013;19.08.2025;REISÆTER KRAFTVERK AS;Vestland;Ullensvang;EL 5
Godkjent;Vannkraft;Fremstedalen;0,49;490;40,8;0,07;20.07.2007;Nei;;0,49;ja;06.03.2013;18.03.2013;05.10.2023;VIKHEIM HANS ARNE;Vestland;Sogndal;EL 5
Godkjent;Vannkraft;Gjersvik;1,47;1470;122,5;0,30000001;14.09.2012;Ja;1,47;;ja;06.03.2013;18.03.2013;18.03.2028;GJERSVIK UTMARK OG MINIKRAFTVERK BA;Trøndelag;Raarvikhe %u2013 Røyrvik;EL 4
Godkjent;Vannkraft;Nørsteteig;0,35;352,8;29,4;0,075;19.02.2006;Nei;;0,35;ja;08.03.2013;18.03.2013;07.05.2022;NØRSTETEIG KRAFTVERK AS;Vestfold og Telemark;Seljord;EL 2
Godkjent;Vannkraft;Grøneng;4,9;4900;408,3;0,94999998;23.01.2006;Nei;;4,9;ja;18.03.2013;18.03.2013;10.04.2022;GRØNENG KRAFTVERK AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Lindåna;4,3;4300;358,3;1,45000004;09.03.2011;Nei;;4,3;ja;25.03.2013;25.03.2013;01.06.2027;LINDÅNA KRAFT AS;Agder;Evje og Hornnes;EL 2
Godkjent;Vannkraft;Ryånda;2,45;2450;204,2;0,85000002;01.12.2008;Nei;;2,45;ja;22.03.2013;01.04.2013;02.03.2025;RYÅNDA KRAFTVERK AS;Trøndelag;Orkland;EL 3
Godkjent;Vannkraft;Heiåi;0,98;980;81,7;0,4;03.09.2008;Nei;;0,98;ja;22.03.2013;01.04.2013;03.12.2024;VRÅDAL KRAFT AS;Vestfold og Telemark;Kviteseid;EL 2
Godkjent;Vannkraft;Draura;6;6000;500;2,5;29.01.2013;Ja;6;;ja;22.03.2013;01.04.2013;01.04.2028;TUSSA ENERGI AS;Møre og Romsdal;Volda;EL 3
Godkjent;Vannkraft;Hovland;9,5;9500;791,7;2,99499988;28.02.2012;Ja;9,5;;ja;04.04.2013;15.04.2013;15.04.2028;HOVLAND KRAFT AS;Vestland;Kinn;EL 3
Godkjent;Vannkraft;Dittielva;9,85;9850;820,8;5,5999999;06.11.2012;Ja;9,85;;ja;04.04.2013;15.04.2013;15.04.2028;FJELLKRAFT PRODUKSJON AS;Troms og Finnmark Romsa ja Finnmárku;Bardu;EL 4
Godkjent;Vannkraft;Rodal;6,1;6100;508,3;1,70000004;02.04.2011;Nei;;6,1;ja;05.04.2013;15.04.2013;16.07.2027;RODAL KRAFT AS;Trøndelag;Heim;EL 3
Godkjent;Vannkraft;Sagelvi;7,2;7200;600;2,29999995;23.11.2012;Ja;7,2;;ja;19.04.2013;29.04.2013;29.04.2028;SMÅKRAFT AS;Vestland;Sogndal;EL 5
Godkjent;Vannkraft;Sørdalen;1,86;1862;155,2;0,55000001;10.12.2009;Nei;;1,86;ja;26.04.2013;06.05.2013;15.04.2026;SØRDALEN KRAFT AS;Vestland;Tysnes;EL 2
Godkjent;Vannkraft;Lauvlielva;3,26;3260,4;271,7;1,25;27.03.2012;Ja;3,26;;ja;10.05.2013;20.05.2013;20.05.2028;LAUVLIELVA KRAFT AS;Innlandet;Nordre Land;EL 1
Godkjent;Vannkraft;Øverdal;2,94;2940;245;0,5;10.12.2012;Ja;2,94;;ja;08.05.2013;20.05.2013;20.05.2028;ØVERDAL KRAFTVERK AS;Trøndelag;Åfjord;EL 3
Godkjent;Vannkraft;Lothe;0,44;441;36,8;0,09;15.03.2007;Nei;;0,44;ja;13.05.2013;20.05.2013;02.08.2023;LOTHE MAGNE;Vestland;Ullensvang;EL 5
Godkjent;Vannkraft;Tredal;2,5;2500;208,3;0,80000001;27.02.2007;Nei;;2,5;ja;14.05.2013;27.05.2013;24.07.2023;KRAFT SØR AS;Agder;Lindesnes;EL 2
Godkjent;Vannkraft;Erdal;5,39;5390;449,2;0,72500002;02.05.2005;Nei;;5,39;ja;14.05.2013;27.05.2013;26.09.2021;ERDAL MINIKRAFT AS;Vestland;Eidfjord;EL 5
Godkjent;Vannkraft;Bjordøla;0,33;325,7;27,1;0,13199999;11.04.2005;Nei;;0,33;ja;14.05.2013;27.05.2013;05.09.2021;NORDBØ OLAV S;Vestfold og Telemark;Hjartdal;EL 2
Godkjent;Vannkraft;Holdal;3,43;3430;285,8;1,24;16.10.2012;Ja;3,43;;ja;22.05.2013;03.06.2013;03.06.2028;HOLDALBEKK KRAFT AS;Vestfold og Telemark;Vinje;EL 2
Godkjent;Vannkraft;Hanestadnea;8,4;8400;700;2,46499991;01.11.2012;Ja;8,4;;ja;24.05.2013;03.06.2013;03.06.2028;ØVERGAARD ENERGI AS;Innlandet;Rendalen;EL 1
Godkjent;Vannkraft;Nybrufoss;10,88;10875;906,3;3;13.02.2013;Ja;10,88;;nei;24.05.2013;03.06.2013;03.06.2028;KONGSBERG ENERGISELSKAP AS;Viken;Kongsberg;EL 1
Godkjent;Vannkraft;Odberg;0,44;441;36,8;0,075;14.12.2012;Ja;0,44;;ja;24.05.2013;03.06.2013;03.06.2028;ODBERG KRAFTLAG SA;Vestfold og Telemark;Larvik;EL 2
Godkjent;Vannkraft;Spilling;4;4000;333,3;1,25;20.11.2008;Nei;;4;ja;24.05.2013;03.06.2013;23.04.2025;SPILLING KRAFT AS;Agder;Lindesnes;EL 2
Godkjent;Vannkraft;Vallestadfossen;6,5;6500;541,7;0,92000001;01.01.2006;Nei;;6,5;ja;08.03.2013;25.03.2013;26.03.2022;VALLESTADFOSSEN KRAFTVERK AS;Vestland;Sunnfjord;EL 3
Godkjent;Vannkraft;Sagabekken 2;1,29;1292,2;107,7;0,32499998;02.02.2009;Nei;;1,29;ja;11.06.2013;24.06.2013;27.07.2025;REINSTAUL KRAFT AS;Vestfold og Telemark;Seljord;EL 2
Godkjent;Vannkraft;Sagabekken 3;0,5;497;41,4;0,15;02.02.2009;Nei;;0,5;ja;11.06.2013;24.06.2013;27.07.2025;REINSTAUL KRAFT AS;Vestfold og Telemark;Seljord;EL 2
Godkjent;Vannkraft;Folkedal;16,89;16888,8;1407,4;4,98999977;09.01.2013;Ja;16,89;;nei;25.06.2013;08.07.2013;08.07.2028;HARDANGER ENERGI AS;Vestland;Voss;EL 5
